a	a
afajdlj	abandon
afklkfj	ability
afld	able
aflffklj	abortion
afljf	about
aflfd	above
afflad	abroad
afsdjdd	absence
afslljfd	absolute
afslljfdlj	absolutely
afslff	absorb
afjsd	abuse
adaddjkd	academic
addd;f	accept
adddss	access
addkddjf	accident
addlj;ajj	accompany
addlj;lksj	accomplish
addlfdkjf	according
addljjf	account
addjfafd	accurate
addjsd	accuse
adjkdfd	achieve
adjkdfdjdjf	achievement
adkd	acid
adkjlslddfd	acknowledge
adajkfd	acquire
adflss	across
adf	act
adfklj	action
adfkfd	active
adfkfksf	activist
adfkfkfj	activity
adflf	actor
adffdss	actress
adfjal	actual
adfjallj	actually
ad	ad
ada;f	adapt
add	add
addkfklj	addition
addkfkljal	additional
addfdss	address
addajafd	adequate
adjjsf	adjust
adjjsfjdjf	adjustment
adjkjksffafklj	administration
adjkjksffaflf	administrator
adjkfd	admire
adjkssklj	admission
adjkf	admit
adlldsddjf	adolescent
adl;f	adopt
adjlf	adult
adfajdd	advance
adfajddd	advanced
adfajfafd	advantage
adfdjfjfd	adventure
adfdffkskjf	advertising
adfkdd	advice
adfksd	advise
adfksdf	adviser
adfldafd	advocate
affakf	affair
affddf	affect
afflfd	afford
affakd	afraid
affkdaj	African
affkdaj-ajdfkdaj	African-American
affdf	after
affdfjllj	afternoon
afakj	again
afakjsf	against
afd	age
afdjdj	agency
afdjda	agenda
afdjf	agent
afffdsskfd	aggressive
afl	ago
affdd	agree
affddjdjf	agreement
affkdjlfjfal	agricultural
aj	ah
ajdad	ahead
akd	aid
akdd	aide
akds	AIDS
akj	aim
akf	air
akfdfaff	aircraft
akflkjd	airline
akf;lff	airport
alfjj	album
aldljll	alcohol
alkfd	alive
all	all
allkajdd	alliance
allls	allow
allj	ally
aljlsf	almost
alljd	alone
alljf	along
alfdadj	already
alsl	also
alfdf	alter
alfdfjafkfd	alternative
alfjljfj	although
alsajs	always
aj	AM
ajaakjf	amazing
ajdfkdaj	American
ajljf	among
ajljjf	amount
ajaljsks	analysis
ajaljsf	analyst
ajaljad	analyze
ajdkdjf	ancient
ajd	and
ajfdf	anger
ajfld	angle
ajffj	angry
ajkjal	animal
ajjkfdfsafj	anniversary
ajjljjdd	announce
ajjjal	annual
ajlfjdf	another
ajssdf	answer
ajfkdk;afd	anticipate
ajskdfj	anxiety
ajj	any
ajjfldj	anybody
ajjjlfd	anymore
ajjljd	anyone
ajjfjkjf	anything
ajjsaj	anyway
ajjsjdfd	anywhere
a;aff	apart
a;affjdjf	apartment
a;;afdjf	apparent
a;;afdjflj	apparently
a;;dal	appeal
a;;daf	appear
a;;dafajdd	appearance
a;;ld	apple
a;;lkdafklj	application
a;;lj	apply
a;;lkjf	appoint
a;;lkjfjdjf	appointment
a;;fddkafd	appreciate
a;;fladj	approach
a;;fl;fkafd	appropriate
a;;flfal	approval
a;;flfd	approve
a;;flskjafdlj	approximately
afaf	Arab
afdjkfddf	architect
afda	area
affjd	argue
affjjdjf	argument
afksd	arise
afj	arm
afjdd	armed
afjj	army
afljjd	around
affajfd	arrange
affajfdjdjf	arrangement
affdsf	arrest
affkfal	arrival
affkfd	arrive
aff	art
affkdld	article
affksf	artist
affksfkd	artistic
as	as
askaj	Asian
askdd	aside
ask	ask
asldd;	asleep
as;ddf	aspect
assajlf	assault
assdff	assert
assdss	assess
assdssjdjf	assessment
assdf	asset
asskfj	assign
asskfjjdjf	assignment
assksf	assist
assksfajdd	assistance
assksfajf	assistant
assldkafd	associate
assldkafklj	association
assjjd	assume
assjj;fklj	assumption
assjfd	assure
af	at
afjldfd	athlete
afjldfkd	athletic
afjls;jdfd	atmosphere
affadj	attach
affadk	attack
affdj;f	attempt
affdjd	attend
affdjfklj	attention
affkfjdd	attitude
afflfjdj	attorney
afffadf	attract
afffadfkfd	attractive
afffkfjfd	attribute
ajdkdjdd	audience
ajfjlf	author
ajfjlfkfj	authority
ajfl	auto
afaklafld	available
afdfafd	average
aflkd	avoid
asafd	award
asafd	aware
asafdjdss	awareness
asaj	away
asfjl	awful
fafj	baby
fadk	back
fadkffljjd	background
fad	bad
fadlj	badly
faf	bag
fakd	bake
falajdd	balance
fall	ball
faj	ban
fajd	band
fajk	bank
faf	bar
fafdlj	barely
faffdl	barrel
faffkdf	barrier
fasd	base
fasdfall	baseball
faskd	basic
faskdallj	basically
fasks	basis
faskdf	basket
faskdffall	basketball
fafjfllj	bathroom
faffdfj	battery
faffld	battle
fd	be
fdadj	beach
fdaj	bean
fdaf	bear
fdaf	beat
fdajfkfjl	beautiful
fdajfj	beauty
fddajsd	because
fddljd	become
fdd	bed
fddfllj	bedroom
fddf	beer
fdflfd	before
fdfkj	begin
fdfkjjkjf	beginning
fdjafklf	behavior
fdjkjd	behind
fdkjf	being
fdlkdf	belief
fdlkdfd	believe
fdll	bell
fdlljf	belong
fdlls	below
fdlf	belt
fdjdj	bench
fdjd	bend
fdjdafj	beneath
fdjdfkf	benefit
fdskdd	beside
fdskdds	besides
fdsf	best
fdf	bet
fdffdf	better
fdfsddj	between
fdjljd	beyond
fkfld	Bible
fkf	big
fkkd	bike
fkll	bill
fkllklj	billion
fkjd	bind
fklllfkdal	biological
fkfd	bird
fkffj	birth
fkffjdaj	birthday
fkf	bit
fkfd	bite
fladk	black
fladd	blade
flajd	blame
flajkdf	blanket
flkjd	blind
flldk	block
fllld	blood
flls	blow
fljd	blue
flafd	board
flaf	boat
fldj	body
fljf	bomb
fljfkjf	bombing
fljd	bond
fljd	bone
fllk	book
fllj	boom
fllf	boot
flfddf	border
flfj	born
flffls	borrow
flss	boss
flfj	both
flfjdf	bother
flffld	bottle
flfflj	bottom
fljjdafj	boundary
flsl	bowl
fls	box
flj	boy
fljffkdjd	boyfriend
ffakj	brain
ffajdj	branch
ffajd	brand
ffdad	bread
ffdak	break
ffdakfasf	breakfast
ffdasf	breast
ffdafj	breath
ffdafjd	breathe
ffkdk	brick
ffkdfd	bridge
ffkdf	brief
ffkdflj	briefly
ffkfjf	bright
ffkllkajf	brilliant
ffkjf	bring
ffkfksj	British
fflad	broad
fflkdj	broken
fflfjdf	brother
fflsj	brown
ffjsj	brush
fjdk	buck
fjdfdf	budget
fjkld	build
fjkldkjf	building
